identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM0180,Staphorst,"0180","23",Overijssel,gemeentegebied.4249e36f-0d25-4523-b758-3f80e925ebf5,135708652.299105,135708652.299105,2264,0.002
GM1652,Gemert-Bakel,"1652","30",Noord-Brabant,gemeentegebied.daa61176-da07-4aba-b9f3-c23e3d284bff,123353432.200008,123353432.200008,,0.000
GM0589,Oudewater,"0589","26",Utrecht,gemeentegebied.17a03e01-2f20-46e8-86f9-d180ab8cbca4,40108001.9445302,40108001.9445302,,0.000
GM0867,Waalwijk,"0867","30",Noord-Brabant,gemeentegebied.ef13d8b0-ba69-4f82-b525-ecba7420c804,67655929.2729158,67655929.2729158,39360,0.058
GM0852,Waterland,"0852","27",Noord-Holland,gemeentegebied.65a1a244-f624-4afe-bcba-3d1255f4b2ab,115680313.095722,115680313.095722,3457316,2.989
GM0858,Valkenswaard,"0858","30",Noord-Brabant,gemeentegebied.5477ad6e-9ef9-4398-b630-5befa68d03e5,56506140.9987176,56506140.9987176,10306515,18.240
GM1970,Noardeast-Fryslân,"1970","21",Fryslân,gemeentegebied.cc6e8d53-fec2-4be9-9f61-992492af5c66,516421561.07903,516421561.07903,5238558,1.014
GM1669,Roerdalen,"1669","31",Limburg,gemeentegebied.2f6bd691-0c4f-4489-9dc4-3e70bc1570a3,88785981.9418132,88785981.9418132,7422548,8.360
GM0957,Roermond,"0957","31",Limburg,gemeentegebied.fe3742a0-d5f1-416d-9b2e-7c45d782a2a1,71052549.3478325,71052549.3478325,1118634,1.574
GM0748,Bergen op Zoom,"0748","30",Noord-Brabant,gemeentegebied.8ba102e9-a215-4c9d-8467-76d9751696f0,93132498.179498,93132498.179498,10067574,10.810
GM0302,Nunspeet,"0302","25",Gelderland,gemeentegebied.4b188201-85cd-44ab-a921-70e068ffd74a,129555072.810426,129555072.810426,576983,0.445
GM0606,Schiedam,"0606","28",Zuid-Holland,gemeentegebied.8100abd9-493f-491b-8671-297976563373,19859832.374159,19859832.374159,,0.000
GM1742,Rijssen-Holten,"1742","23",Overijssel,gemeentegebied.71a3cb4a-b171-414a-bf67-428986febda5,94388507.6677589,94388507.6677589,0,0.000
GM1708,Steenwijkerland,"1708","23",Overijssel,gemeentegebied.fb7ca3c5-2a8d-40a3-aa4f-ef434d7563b4,321624409.316283,321624409.316283,14891185,4.630
GM0779,Geertruidenberg,"0779","30",Noord-Brabant,gemeentegebied.194e8ca9-3d30-4201-afdf-0a93f9d0510a,29643881.8909871,29643881.8909871,828390,2.794
GM1723,Alphen-Chaam,"1723","30",Noord-Brabant,gemeentegebied.517de576-5a21-49e0-bf59-c27820b2c835,93530879.4688824,93530879.4688824,,0.000
GM0826,Oosterhout,"0826","30",Noord-Brabant,gemeentegebied.8d4a23b5-fdab-4099-9815-e3a0ce49a7d3,73096074.8512395,73096074.8512395,,0.000
GM0513,Gouda,"0513","28",Zuid-Holland,gemeentegebied.aa8f167a-e6e5-4476-8439-4f37f712a848,18116161.1549115,18116161.1549115,,0.000
GM0141,Almelo,"0141","23",Overijssel,gemeentegebied.416ca323-1515-48aa-a776-22520c0fafbe,69412262.3897143,69412262.3897143,,0.000
GM0321,Houten,"0321","26",Utrecht,gemeentegebied.e7a92ab6-2f74-4a20-9de8-355c9ab4fbe4,58996031.9806584,58996031.9806584,,0.000
GM0678,Kapelle,"0678","29",Zeeland,gemeentegebied.00f61dd1-befc-4dc8-806e-9a1a902ae907,49625310.4113551,49625310.4113551,10586334,21.333
GM0785,Goirle,"0785","30",Noord-Brabant,gemeentegebied.e257963a-5784-452b-a220-672511dc502a,43383624.9204576,43383624.9204576,5381207,12.404
GM0373,Bergen (NH),"0373","27",Noord-Holland,gemeentegebied.7a034122-6fac-4514-821e-eb8b310288a9,120244371.694932,120244371.694932,3292437,2.738
GM0865,Vught,"0865","30",Noord-Brabant,gemeentegebied.3eb03cfb-1749-4d77-9b14-84522f52a876,61124420.4565277,61124420.4565277,8510440,13.923
GM0654,Borsele,"0654","29",Zeeland,gemeentegebied.9e30e01c-8589-4a7c-a6a5-61c30f3afa58,194508205.488368,194508205.488368,52514817,26.999
GM0203,Barneveld,"0203","25",Gelderland,gemeentegebied.b35faa23-7b72-49b8-9dda-eb2ed061b388,176691350.234539,176691350.234539,48388360,27.386
